title,company,location,job_type,visa_sponsor,match_score,match_reasons,url,source,date_posted
Internship - AI Software Engineer (New York Space Grant) - Summer 2026,ChatGPT Jobs,"New York, NY",intern,Unknown,55,role: software engineer; preferred location; job type: intern,https://www.linkedin.com/jobs/view/internship-ai-software-engineer-new-york-space-grant-summer-2026-at-chatgpt-jobs-4373770327,LinkedIn,2026-02-21
New Grad Software Engineer,Confido,"New York, NY",new_grad,Unknown,55,role: software engineer; preferred location; job type: new_grad,https://www.linkedin.com/jobs/view/new-grad-software-engineer-at-confido-4374975001,LinkedIn,2026-02-22
"Software Engineer I, Fullstack, Risk Engineering (New Grad - 2025)",RemoteHunter,United States,new_grad,Unknown,55,role: software engineer; preferred location; job type: new_grad,https://www.linkedin.com/jobs/view/software-engineer-i-fullstack-risk-engineering-new-grad-2025-at-remotehunter-4374970929,LinkedIn,2026-02-22
"Software Engineer, NLP/Machine Learning",WisdomAI,"San Mateo, CA",fulltime,Unknown,51,role: software engineer; skills matched: 1; job type: fulltime,https://www.linkedin.com/jobs/view/software-engineer-nlp-machine-learning-at-wisdomai-4376331886,LinkedIn,2026-02-22
Machine Learning Engineer Intern,Lensa,"Oakland, CA",intern,Unknown,51,role: machine learning engineer; skills matched: 1; job type: intern,https://www.linkedin.com/jobs/view/machine-learning-engineer-intern-at-lensa-4376325876,LinkedIn,2026-02-22
Data Scientist I - Early Careers,Lensa,"Boston, MA",fulltime,Unknown,45,role: data scientist; job type: fulltime,https://www.linkedin.com/jobs/view/data-scientist-i-early-careers-at-lensa-4376322986,LinkedIn,2026-02-22
Software Engineering - Summer 2027 Internship,Lensa,"Chicago, IL",intern,Unknown,45,role: software engineer; job type: intern,https://www.linkedin.com/jobs/view/software-engineering-summer-2027-internship-at-lensa-4376343002,LinkedIn,2026-02-22
"Embedded Software Engineer Intern, Implant Embedded Systems",Neuralink,"Fremont, CA",intern,Unknown,45,role: software engineer; job type: intern,https://www.linkedin.com/jobs/view/embedded-software-engineer-intern-implant-embedded-systems-at-neuralink-4305287068,LinkedIn,2026-02-22
Data Scientist - Intern,Lensa,"Washington, DC",intern,Unknown,45,role: data scientist; job type: intern,https://www.linkedin.com/jobs/view/data-scientist-intern-at-lensa-4376339254,LinkedIn,2026-02-22
Data Scientist - Intern,Lensa,"Austin, TX",intern,Unknown,45,role: data scientist; job type: intern,https://www.linkedin.com/jobs/view/data-scientist-intern-at-lensa-4376333564,LinkedIn,2026-02-22
